Date,Opponent,Venue,Runs,Balls,Out,Singles,Doubles,Triples,Fours,Sixes,StrikeRate,CumulativeRuns,CumulativeOuts,Average,50s,100s
2008-08-18,Sri Lanka,Rangiri Dambulla International Stadium,12,22,1,3,1,1,1,0,54.5454545454545,12,1,12,0,0
2008-08-20,Sri Lanka,Rangiri Dambulla International Stadium,37,69,1,9,2,0,6,0,53.6231884057971,49,2,24.5,0,0
2008-08-24,Sri Lanka,R Premadasa Stadium,25,41,1,3,0,2,4,0,60.9756097560976,74,3,24.6666666666667,0,0
2008-08-27,Sri Lanka,R Premadasa Stadium,54,66,1,8,6,2,7,0,81.8181818181818,128,4,32,1,0
2008-08-29,Sri Lanka,R Premadasa Stadium,31,47,1,5,4,0,3,1,65.9574468085106,159,5,31.8,0,0
2009-09-14,Sri Lanka,R Premadasa Stadium,2,2,0,2,0,0,0,0,100,161,5,32.2,0,0
2009-09-26,Pakistan,SuperSport Park,16,24,1,10,1,0,1,0,66.6666666666667,177,6,29.5,0,0
2009-09-30,West Indies,New Wanderers Stadium,79,107,0,19,6,0,9,2,73.8317757009346,256,6,42.6666666666667,1,0
2009-10-25,Australia,Reliance Stadium,30,42,1,18,0,0,3,0,71.4285714285714,286,7,40.8571428571429,0,0
2009-11-02,Australia,"Punjab Cricket Association Stadium, Mohali",10,17,1,6,0,0,1,0,58.8235294117647,296,8,37,0,0
2009-12-15,Sri Lanka,Madhavrao Scindia Cricket Ground,27,19,1,5,3,0,4,0,142.105263157895,323,9,35.8888888888889,0,0
2009-12-18,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",54,65,1,22,2,0,7,0,83.0769230769231,377,10,37.7,1,0
2009-12-24,Sri Lanka,Eden Gardens,107,119,1,49,4,0,11,1,89.9159663865546,484,11,44,0,1
2010-01-05,Sri Lanka,Shere Bangla National Stadium,9,12,1,5,0,0,1,0,75,493,12,41.0833333333333,0,0
2010-01-07,Bangladesh,Shere Bangla National Stadium,91,107,1,41,11,0,7,0,85.0467289719626,584,13,44.9230769230769,1,0
2010-01-10,Sri Lanka,Shere Bangla National Stadium,71,69,0,21,4,2,9,0,102.898550724638,655,13,50.3846153846154,1,0
2010-01-11,Bangladesh,Shere Bangla National Stadium,102,95,0,39,8,1,11,0,107.368421052632,757,13,58.2307692307692,0,1
2010-01-13,Sri Lanka,Shere Bangla National Stadium,2,8,1,0,1,0,0,0,25,759,14,54.2142857142857,0,0
2010-02-21,South Africa,Sawai Mansingh Stadium,31,46,1,25,1,0,1,0,67.3913043478261,790,15,52.6666666666667,0,0
2010-02-27,South Africa,"Sardar Patel Stadium, Motera",57,71,1,29,3,0,4,1,80.2816901408451,847,16,52.9375,1,0
2010-05-30,Sri Lanka,Queens Sports Club,82,93,1,42,8,1,4,0,88.1720430107527,929,17,54.6470588235294,1,0
2010-06-03,Zimbabwe,Harare Sports Club,18,29,1,10,2,0,1,0,62.0689655172414,947,18,52.6111111111111,0,0
2010-06-05,Sri Lanka,Harare Sports Club,68,95,1,34,7,0,5,0,71.5789473684211,1015,19,53.4210526315789,1,0
2010-06-16,Bangladesh,Rangiri Dambulla International Stadium,11,22,1,7,2,0,0,0,50,1026,20,51.3,0,0
2010-06-19,Pakistan,Rangiri Dambulla International Stadium,18,27,1,8,3,0,1,0,66.6666666666667,1044,21,49.7142857142857,0,0
2010-06-22,Sri Lanka,Rangiri Dambulla International Stadium,10,14,1,3,0,1,1,0,71.4285714285714,1054,22,47.9090909090909,0,0
2010-06-24,Sri Lanka,Rangiri Dambulla International Stadium,28,34,1,10,1,0,4,0,82.3529411764706,1082,23,47.0434782608696,0,0
2010-08-16,Sri Lanka,Rangiri Dambulla International Stadium,0,3,1,0,0,0,0,0,0,1082,24,45.0833333333333,0,0
2010-08-25,New Zealand,Rangiri Dambulla International Stadium,8,16,1,2,1,0,1,0,50,1090,25,43.6,0,0
2010-08-28,Sri Lanka,Rangiri Dambulla International Stadium,37,57,1,8,3,1,5,0,64.9122807017544,1127,26,43.3461538461539,0,0
2010-10-20,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,118,125,1,52,8,0,11,1,94.4,1245,27,46.1111111111111,0,1
2010-11-28,New Zealand,Nehru Stadium,105,107,1,42,7,3,10,0,98.1308411214953,1350,28,48.2142857142857,0,1
2010-12-01,New Zealand,Sawai Mansingh Stadium,64,73,1,20,6,0,8,0,87.6712328767123,1414,29,48.7586206896552,1,0
2010-12-04,New Zealand,Reliance Stadium,63,73,0,23,2,0,6,2,86.3013698630137,1477,29,50.9310344827586,1,0
2010-12-07,New Zealand,M Chinnaswamy Stadium,0,3,1,0,0,0,0,0,0,1477,30,49.2333333333333,0,0
2010-12-10,New Zealand,"MA Chidambaram Stadium, Chepauk",2,8,1,0,1,0,0,0,25,1479,31,47.7096774193548,0,0
2011-01-12,South Africa,Kingsmead,54,72,1,32,4,0,2,1,75,1533,32,47.90625,1,0
2011-01-15,South Africa,New Wanderers Stadium,22,34,1,6,6,0,1,0,64.7058823529412,1555,33,47.1212121212121,0,0
2011-01-18,South Africa,Newlands,28,42,1,6,1,0,5,0,66.6666666666667,1583,34,46.5588235294118,0,0
2011-01-21,South Africa,St George's Park,87,92,0,31,8,0,7,2,94.5652173913043,1670,34,49.1176470588235,1,0
2011-01-23,South Africa,SuperSport Park,2,6,1,2,0,0,0,0,33.3333333333333,1672,35,47.7714285714286,0,0
2011-02-19,Bangladesh,Shere Bangla National Stadium,100,86,0,39,7,1,8,2,116.279069767442,1772,35,50.6285714285714,0,1
2011-02-27,England,M Chinnaswamy Stadium,8,5,1,2,1,0,1,0,160,1780,36,49.4444444444444,0,0
2011-03-06,Ireland,M Chinnaswamy Stadium,34,54,0,22,0,0,3,0,62.962962962963,1814,36,50.3888888888889,0,0
2011-03-09,Netherlands,Feroz Shah Kotla,12,20,1,2,1,0,2,0,60,1826,37,49.3513513513514,0,0
2011-03-12,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",1,3,1,1,0,0,0,0,33.3333333333333,1827,38,48.0789473684211,0,0
2011-03-20,West Indies,"MA Chidambaram Stadium, Chepauk",59,78,1,35,2,0,5,0,75.6410256410256,1886,39,48.3589743589744,1,0
2011-03-24,Australia,"Sardar Patel Stadium, Motera",24,33,1,18,1,0,1,0,72.7272727272727,1910,40,47.75,0,0
2011-03-30,Pakistan,"Punjab Cricket Association Stadium, Mohali",9,21,1,9,0,0,0,0,42.8571428571429,1919,41,46.8048780487805,0,0
2011-04-02,Sri Lanka,Wankhede Stadium,35,52,1,11,4,0,4,0,67.3076923076923,1954,42,46.5238095238095,0,0
2011-06-06,West Indies,"Queen's Park Oval, Port of Spain",2,8,1,2,0,0,0,0,25,1956,43,45.4883720930233,0,0
2011-06-08,West Indies,"Queen's Park Oval, Port of Spain",81,106,1,39,6,0,6,1,76.4150943396226,2037,44,46.2954545454546,1,0
2011-06-11,West Indies,"Sir Vivian Richards Stadium, North Sound",0,1,1,0,0,0,0,0,0,2037,45,45.2666666666667,0,0
2011-06-13,West Indies,"Sir Vivian Richards Stadium, North Sound",22,33,1,15,0,1,1,0,66.6666666666667,2059,46,44.7608695652174,0,0
2011-06-16,West Indies,"Sabina Park, Kingston",94,107,1,44,5,0,10,0,87.8504672897196,2153,47,45.8085106382979,1,0
2011-09-03,England,Riverside Ground,55,74,1,33,3,0,4,0,74.3243243243243,2208,48,46,1,0
2011-09-06,England,The Rose Bowl,9,9,1,5,2,0,0,0,100,2217,49,45.2448979591837,0,0
2011-09-09,England,Kennington Oval,7,18,1,3,2,0,0,0,38.8888888888889,2224,50,44.48,0,0
2011-09-11,England,Lord's,16,39,1,8,2,0,1,0,41.025641025641,2240,51,43.921568627451,0,0
2011-09-16,England,Sophia Gardens,107,93,1,35,12,2,9,1,115.05376344086,2347,52,45.1346153846154,0,1
2011-10-14,England,"Rajiv Gandhi International Stadium, Uppal",37,63,1,29,4,0,0,0,58.7301587301587,2384,53,44.9811320754717,0,0
2011-10-17,England,Feroz Shah Kotla,112,104,0,39,3,1,16,0,107.692307692308,2496,53,47.0943396226415,0,1
2011-10-20,England,"Punjab Cricket Association Stadium, Mohali",35,30,1,8,2,1,5,0,116.666666666667,2531,54,46.8703703703704,0,0
2011-10-23,England,Wankhede Stadium,86,99,0,36,3,0,11,0,86.8686868686869,2617,54,48.462962962963,1,0
2011-10-25,England,Eden Gardens,0,5,1,0,0,0,0,0,0,2617,55,47.5818181818182,0,0
2011-11-29,West Indies,Barabati Stadium,3,7,1,1,1,0,0,0,42.8571428571429,2620,56,46.7857142857143,0,0
2011-12-02,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,117,127,1,53,4,0,14,0,92.1259842519685,2737,57,48.0175438596491,0,1
2011-12-05,West Indies,"Sardar Patel Stadium, Motera",20,30,1,6,1,0,3,0,66.6666666666667,2757,58,47.5344827586207,0,0
2011-12-08,West Indies,Holkar Cricket Stadium,23,13,0,3,4,0,3,0,176.923076923077,2780,58,47.9310344827586,0,0
2011-12-11,West Indies,"MA Chidambaram Stadium, Chepauk",80,86,1,48,6,0,5,0,93.0232558139535,2860,59,48.4745762711864,1,0
2012-02-05,Australia,Melbourne Cricket Ground,31,34,1,8,4,1,3,0,91.1764705882353,2891,60,48.1833333333333,0,0
2012-02-08,Sri Lanka,Western Australia Cricket Association Ground,77,94,1,31,4,0,8,1,81.9148936170213,2968,61,48.655737704918,1,0
2012-02-12,Australia,Adelaide Oval,18,28,1,11,0,1,1,0,64.2857142857143,2986,62,48.1612903225807,0,0
2012-02-14,Sri Lanka,Adelaide Oval,15,25,1,9,1,0,1,0,60,3001,63,47.6349206349206,0,0
2012-02-19,Australia,"Brisbane Cricket Ground, Woolloongabba",12,25,1,7,1,1,0,0,48,3013,64,47.078125,0,0
2012-02-21,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",66,83,1,34,12,0,2,0,79.5180722891566,3079,65,47.3692307692308,1,0
2012-02-26,Australia,Sydney Cricket Ground,21,27,1,9,2,0,2,0,77.7777777777778,3100,66,46.969696969697,0,0
2012-02-28,Sri Lanka,Bellerive Oval,133,91,0,37,10,0,16,2,146.153846153846,3233,66,48.9848484848485,0,1
2012-03-13,Sri Lanka,Shere Bangla National Stadium,108,122,1,58,11,0,7,0,88.5245901639344,3341,67,49.865671641791,0,1
2012-03-16,Bangladesh,Shere Bangla National Stadium,66,82,1,40,3,0,5,0,80.4878048780488,3407,68,50.1029411764706,1,0
